Countycode,County,Jurisdiction (NCIC),BCS number,ID,Victim Number,Month of Report,Year of Report,Total Victim,Total Suspects,Gender,W_Race/Ethnicity,Race/Ethnicity,Age,Crime Status,Victim/Offender Relationship #1,Victim/Offender Relationship #2,Victim/Offender Relationship #3,Victim/Offender Relationship #4,Month of Incident,Day of month of Incident,Year of Incident,Day of week,Year of Death,Means of death,Location,Precipitating Event,Special Circumstance
01,Alameda,0101,00068,010100068,1,2,2001,1,1,female,White,White,34,1,Ex-wife,,,,2,22,2001,5,2001,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,The suspect/offender intentionally killed the victim while lying in wait.
01,Alameda,0109,00678,010900678,1,6,2001,1,1,female,Black or African American,Black,46,1,Girlfriend,,,,6,5,2001,3,2001,Handgun (pistol/revolver),Other commercial business,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01098,010901098,1,8,2001,1,1,male,Black or African American,Black,58,1,Boyfriend,,,,8,16,2001,5,2001,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01276,010901276,1,9,2001,1,1,male,Black or African American,Black,41,1,Boyfriend,,,,9,28,2001,6,2001,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01661,010901661,1,10,2001,1,1,female,Black or African American,Black,43,1,Girlfriend,,,,10,23,2001,3,2001,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01766,010901766,1,11,2001,1,1,female,Black or African American,Black,43,1,Wife,,,,11,25,2001,1,2001,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0101,04032,010104032,1,6,2002,1,1,female,Asian,Other Asian,30,1,Girlfriend,,,,6,9,2002,1,2002,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0103,02397,010302397,1,12,2002,1,1,male,White,White,43,1,Husband,,,,12,18,2002,4,2002,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00055,010900055,1,2,2002,2,1,female,Black or African American,Black,38,1,Acquaintance,,,,2,18,2002,2,2002,Knife or other stabbing instrument,Residence of offender,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00055,010900055,2,2,2002,2,1,female,Black or African American,Black,33,1,Wife,,,,2,18,2002,2,2002,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00359,010900359,1,3,2002,1,1,female,Black or African American,Black,41,1,"Other, known to Victim",,,,3,29,2002,6,2002,Handgun (pistol/revolver),Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01628,010901628,1,9,2002,1,1,female,Asian,Vietnamese,27,1,Girlfriend,,,,9,1,2002,1,2002,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0111,02177,011102177,1,12,2002,1,1,female,White,White,30,1,Girlfriend,,,,12,13,2002,6,2002,Knife or other stabbing instrument,"Hotel, motel",Domestic Violence,Non-death penalty homicide.
01,Alameda,0112,01106,011201106,1,7,2002,1,1,female,Asian,Filipino,38,1,Wife,,,,7,26,2002,6,2002,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0100,01268,010001268,1,7,2003,1,1,male,White,White,37,1,Homosexual relationship,,,,7,27,2003,1,2003,Other,Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00370,010900370,1,3,2003,1,1,female,Black or African American,Black,22,1,Girlfriend,,,,3,16,2003,1,2003,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00547,010900547,1,4,2003,1,1,female,Black or African American,Black,26,1,Wife,,,,4,10,2003,5,2003,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,00829,010900829,1,5,2003,1,1,female,Hispanic,Hispanic,50,1,Girlfriend,,,,5,21,2003,4,2003,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01475,010901475,1,8,2003,1,1,male,Black or African American,Black,52,1,Husband,,,,8,18,2003,2,2003,Arson/Fire,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01478,010901478,1,8,2003,1,1,female,Black or African American,Black,42,1,Wife,,,,8,24,2003,1,2003,Rope/Garrote,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,04132,010904132,1,10,2003,1,1,female,White,White,45,1,Wife,,,,10,23,2003,5,2003,"Personal weapon (hands/feet, etc)","Hotel, motel",Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,04100,010904100,1,10,2003,1,2,male,White,White,61,1,Boyfriend,Friend,,,10,22,2003,4,2003,"Personal weapon (hands/feet, etc)",Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,02447,010902447,1,12,2003,1,1,male,Black or African American,Black,37,1,Boyfriend,,,,12,15,2003,2,2003,Blunt object,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0112,00903,011200903,1,1,2003,1,1,male,Black or African American,Black,37,1,Boyfriend,,,,1,5,2003,1,2003,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0113,01798,011301798,1,9,2003,1,1,female,Asian,Other Asian,21,1,Girlfriend,,,,9,16,2003,3,2003,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0107,02251,010702251,1,7,2004,1,1,female,White,White,80,1,Wife,,,,6,29,2004,3,2004,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,01772,010901772,1,6,2004,1,1,male,Black or African American,Black,50,1,Husband,,,,6,9,2004,4,2004,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,03536,010903536,1,9,2004,1,1,female,Black or African American,Black,35,1,Girlfriend,,,,9,3,2004,6,2004,"Personal weapon (hands/feet, etc)",Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0106,04136,010604136,1,3,2005,1,1,male,Hispanic,Hispanic,37,1,Husband,,,,3,30,2005,4,2005,Handgun (pistol/revolver),Street/side walk,Domestic Violence,Murder was intentional and carried out for financial gain.
01,Alameda,0109,03973,010903973,1,1,2005,1,1,female,Black or African American,Black,53,1,Acquaintance,,,,1,1,2005,7,2005,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,04599,010904599,1,3,2005,1,1,female,White,White,32,1,Girlfriend,,,,3,7,2005,2,2005,"Personal weapon (hands/feet, etc)",Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,05843,010905843,1,8,2005,1,1,female,Asian,Other Asian,16,1,Girlfriend,,,,8,27,2005,7,2005,Handgun (pistol/revolver),Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,06119,010906119,1,11,2005,1,1,male,Black or African American,Black,26,1,Acquaintance,,,,11,19,2005,7,2005,Knife or other stabbing instrument,Residence of offender,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,06120,010906120,1,11,2005,1,1,male,Black or African American,Black,37,1,Husband,,,,11,27,2005,1,2005,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0112,06689,011206689,1,10,2005,1,1,female,Hispanic,Hispanic,14,1,Girlfriend,,,,10,27,2005,5,2005,Shotgun,Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0105,09345,010509345,1,11,2006,1,1,female,Asian,Asian Indian,46,1,Wife,,,,11,21,2006,3,2006,Firearm (not specified),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,06693,010906693,1,1,2006,1,1,male,Black or African American,Black,40,1,Husband,,,,1,9,2006,2,2006,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,08455,010908455,1,8,2006,1,1,female,White,White,36,1,Girlfriend,,,,8,26,2006,7,2006,"Personal weapon (hands/feet, etc)",Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,08448,010908448,1,8,2006,1,1,female,Black or African American,Black,54,1,Girlfriend,,,,8,1,2006,3,2006,Blunt object,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,08783,010908783,1,9,2006,1,1,female,Black or African American,Black,29,1,Girlfriend,,,,9,26,2006,3,2006,Knife or other stabbing instrument,Other residence (not victim’s or offender’s),Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,09062,010909062,1,10,2006,1,1,female,White,White,31,1,Wife,,,,9,3,2006,1,2006,Unknown,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0100,11721,010011721,1,8,2007,1,1,female,Asian,Other Asian,55,1,Wife,,,,8,15,2007,4,2007,"Personal weapon (hands/feet, etc)",Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,10069,010910069,1,3,2007,1,1,female,Black or African American,Black,40,1,Wife,,,,3,11,2007,1,2007,Handgun (pistol/revolver),Parking lot,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,10880,010910880,1,6,2007,1,1,female,Black or African American,Black,43,1,Girlfriend,,,,6,29,2007,6,2007,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,11268,010911268,1,7,2007,1,1,female,Black or African American,Black,35,1,Girlfriend,,,,7,8,2007,1,2007,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,13010,010913010,1,1,2008,1,1,female,Black or African American,Black,16,1,Girlfriend,,,,1,21,2008,2,2008,Firearm (not specified),Other residence (not victim’s or offender’s),Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,14273,010914273,1,5,2008,1,1,male,Black or African American,Black,33,1,Boyfriend,,,,5,10,2008,7,2008,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,15307,010915307,1,9,2008,2,1,female,Black or African American,Black,24,1,Girlfriend,,,,9,7,2008,1,2008,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,15831,010915831,1,11,2008,1,1,female,White,White,39,1,Wife,,,,11,5,2008,4,2008,Firearm (not specified),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0113,14745,011314745,1,6,2008,1,1,female,White,White,58,1,Wife,,,,6,16,2008,2,2008,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0100,16869,010016869,1,4,2009,1,1,female,Hispanic,Hispanic,32,1,Wife,,,,4,26,2009,1,2009,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0101,16778,010116778,1,1,2009,1,1,female,White,White,60,1,Wife,,,,1,14,2009,4,2009,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0103,18617,010318617,1,11,2009,2,1,female,Black or African American,Black,23,1,Girlfriend,,,,11,13,2009,6,2009,Rifle,"Park, public use area",Domestic Violence,Non-death penalty homicide.
01,Alameda,0106,17351,010617351,1,5,2009,1,1,female,Hispanic,Hispanic,46,1,Wife,,,,5,29,2009,6,2009,Knife or other stabbing instrument,Parking lot,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,16831,010916831,1,4,2009,1,1,male,White,White,36,1,Boyfriend,,,,4,10,2009,6,2009,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,16840,010916840,1,4,2009,1,1,female,Black or African American,Black,53,1,Wife,,,,4,5,2009,1,2009,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,17282,010917282,1,6,2009,2,1,female,Black or African American,Black,23,1,Girlfriend,,,,6,15,2009,2,2009,Firearm (not specified),"Hotel, motel",Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,17283,010917283,1,6,2009,1,1,female,Black or African American,Black,18,1,Girlfriend,,,,6,16,2009,3,2009,Firearm (not specified),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,18214,010918214,1,10,2009,1,1,female,Asian,Other Asian,53,1,Wife,,,,10,8,2009,5,2009,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,18680,010918680,1,12,2009,1,1,male,White,White,54,1,Homosexual relationship,,,,12,1,2009,3,2009,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,18780,010918780,1,10,2009,1,1,female,Black or African American,Black,19,1,Girlfriend,,,,10,8,2009,5,2009,Handgun (pistol/revolver),Residence of offender,Domestic Violence,Non-death penalty homicide.
01,Alameda,0100,19960,010019960,1,6,2010,1,1,female,White,White,25,1,Girlfriend,,,,6,5,2010,7,2010,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,18911,010918911,1,1,2010,1,1,male,Black or African American,Black,24,1,Boyfriend,,,,1,12,2010,3,2010,Knife or other stabbing instrument,Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,18912,010918912,1,1,2010,1,1,female,Black or African American,Black,46,1,Girlfriend,,,,1,22,2010,6,2010,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,20520,010920520,1,8,2010,1,1,male,Black or African American,Black,54,1,Boyfriend,,,,8,19,2010,5,2010,Knife or other stabbing instrument,Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0108,22110,010822110,1,4,2011,1,1,female,Other,Other,25,1,Common-law wife,,,,4,27,2011,4,2011,Knife or other stabbing instrument,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,23423,010923423,1,7,2011,1,1,female,Black or African American,Black,50,1,Girlfriend,,,,7,6,2011,4,2011,Knife or other stabbing instrument,"Hotel, motel",Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,23912,010923912,1,10,2011,1,1,female,Asian,Other Asian,78,1,Wife,,,,10,18,2011,3,2011,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,23933,010923933,1,11,2011,1,1,male,Black or African American,Black,28,1,Boyfriend,,,,11,22,2011,3,2011,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0104,24919,010424919,1,6,2012,1,1,female,Black or African American,Black,18,1,Girlfriend,,,,6,4,2012,2,2012,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,26422,010926422,1,11,2012,1,1,female,Hispanic,Hispanic,18,1,Girlfriend,,,,11,24,2012,7,2012,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,26458,010926458,1,12,2012,1,1,female,Black or African American,Black,32,1,Girlfriend,,,,12,7,2012,6,2012,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0112,24113,011224113,1,1,2012,1,1,female,Hispanic,Hispanic,15,1,Girlfriend,,,,1,27,2012,6,2012,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0112,24148,011224148,1,3,2012,1,1,female,Hispanic,Hispanic,24,1,Girlfriend,,,,3,23,2012,6,2012,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,28128,010928128,1,8,2013,1,1,female,Black or African American,Black,50,1,Girlfriend,,,,8,9,2013,6,2013,Asphyxiation,"Park, public use area",Domestic Violence,Non-death penalty homicide.
01,Alameda,0105,29401,010529401,1,5,2014,1,1,female,Asian,Asian Indian,39,1,Wife,,,,5,25,2014,1,2014,Rope/Garrote,Shared residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,30992,010930992,1,11,2014,1,1,female,Asian,Other Asian,72,1,Wife,,,,11,24,2014,2,2014,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,30994,010930994,1,11,2014,1,1,female,Asian,Other Asian,19,1,Girlfriend,,,,11,30,2014,1,2014,Knife or other stabbing instrument,Liquor store,Domestic Violence,Non-death penalty homicide.
01,Alameda,0100,32091,010032091,1,6,2015,1,1,female,Black or African American,Black,18,1,Girlfriend,,,,6,29,2015,2,2015,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0101,33293,010133293,1,12,2015,1,1,male,Black or African American,Black,73,1,Boyfriend,,,,12,3,2015,5,2015,Handgun (pistol/revolver),Residence of offender,Domestic Violence,Non-death penalty homicide.
01,Alameda,0108,33432,010833432,1,12,2015,1,1,female,Asian,Korean,38,1,Wife,,,,12,7,2015,2,2015,Asphyxiation,Shared residence,Domestic Violence,Unable to determine (not enough information)
01,Alameda,0109,31502,010931502,1,2,2015,1,1,male,Black or African American,Black,35,1,Husband,,,,2,24,2015,3,2015,Knife or other stabbing instrument,Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0106,33792,010633792,1,2,2016,1,1,female,Hispanic,Hispanic,22,1,Girlfriend,,,,2,14,2016,1,2016,Handgun (pistol/revolver),Street/side walk,Domestic Violence,"The murder was especially heinous, atrocious or cruel, manifesting exceptional depravity."
01,Alameda,0106,35039,010635039,1,8,2016,1,1,male,White,White,63,1,Husband,,,,8,5,2016,6,2016,Firearm (not specified),Victim’s residence,Domestic Violence,"The murder was especially heinous, atrocious or cruel, manifesting exceptional depravity."
01,Alameda,0109,35961,010935961,2,7,2016,2,1,female,Black or African American,Black,48,1,Girlfriend,,,,7,2,2016,7,2016,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,36018,010936018,1,11,2016,1,2,female,Hispanic,Hispanic,21,1,Homosexual relationship,Stranger,,,11,3,2016,5,2016,Knife or other stabbing instrument,"Park, public use area",Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,36024,010936024,1,11,2016,1,1,female,Hispanic,Hispanic,19,1,Girlfriend,,,,11,13,2016,1,2016,Handgun (pistol/revolver),"Hotel, motel",Domestic Violence,Non-death penalty homicide.
01,Alameda,0105,38160,010538160,1,12,2017,1,1,male,Asian,Asian Indian,19,1,Boyfriend,,,,12,17,2017,1,2017,Knife or other stabbing instrument,Parking lot,Domestic Violence,"The murder was especially heinous, atrocious or cruel, manifesting exceptional depravity."
01,Alameda,0109,38411,010938411,1,11,2017,1,1,male,Black or African American,Black,24,1,Boyfriend,,,,11,14,2017,3,2017,Knife or other stabbing instrument,Street/side walk,Domestic Violence,Non-death penalty homicide.
01,Alameda,0105,40901,010540901,1,2,2018,1,1,female,White,White,49,1,Wife,,,,2,17,2018,7,2018,Firearm (not specified),Victim’s residence,Domestic Violence,"The murder was especially heinous, atrocious or cruel, manifesting exceptional depravity."
01,Alameda,0109,39238,010939238,1,1,2018,1,1,female,Hispanic,Hispanic,38,1,Wife,,,,1,1,2018,2,2018,Handgun (pistol/revolver),Residence of offender,Domestic Violence,Non-death penalty homicide.
01,Alameda,0109,39410,010939410,1,2,2018,1,1,female,Native Hawaiian and Other Pacific Islander,Hawaiian,73,1,Wife,,,,2,11,2018,1,2018,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Unable to determine (not enough information)
01,Alameda,0109,39474,010939474,1,3,2018,1,1,female,Black or African American,Black,24,1,Girlfriend,,,,3,15,2018,5,2018,Drowning,Street/side walk,Domestic Violence,"The murder was especially heinous, atrocious or cruel, manifesting exceptional depravity."
01,Alameda,0109,40637,010940637,1,7,2018,1,1,female,Black or African American,Black,46,1,Girlfriend,,,,7,20,2018,6,2018,Handgun (pistol/revolver),Street/side walk,Domestic Violence,Unable to determine (not enough information)
01,Alameda,0114,40177,011440177,1,10,2018,1,1,female,Black or African American,Black,18,1,Girlfriend,,,,9,26,2018,4,2018,Rope/Garrote,"Park, public use area",Domestic Violence,Unable to determine (not enough information)
01,Alameda,0100,41764,010041764,1,6,2019,1,1,female,White,White,44,1,Wife,,,,6,26,2019,4,2019,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Unable to determine (not enough information)
01,Alameda,0100,44832,010044832,1,09,2020,1,1,female,Hispanic,Hispanic,51,1,Wife,,,,09,06,2020,1,2020,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Unable to determine (not enough information)
01,Alameda,0106,43268,010643268,1,02,2020,1,1,female,Hispanic,Hispanic,38,1,Wife,,,,02,04,2020,3,2020,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,"The murder was especially heinous, atrocious or cruel, manifesting exceptional depravity."
01,Alameda,0109,44790,010944790,1,03,2020,1,1,female,Black or African American,Black,32,1,Homosexual relationship,,,,03,31,2020,3,2020,Unknown,Other,Domestic Violence,Unable to determine (not enough information)
02,Alpine,0200,09833,020009833,1,1,2007,1,1,female,White,White,86,1,Wife,,,,1,1,2007,2,2007,Rope/Garrote,Victim’s residence,Domestic Violence,Non-death penalty homicide.
03,Amador,0300,01940,030001940,1,4,2004,1,1,female,White,White,18,1,Girlfriend,,,,4,23,2004,6,2004,Shotgun,Victim’s residence,Domestic Violence,Non-death penalty homicide.
03,Amador,0300,20419,030020419,1,8,2010,1,1,female,White,White,52,1,Girlfriend,,,,8,29,2010,1,2010,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
03,Amador,0300,32330,030032330,1,4,2015,1,1,female,White,White,53,1,Wife,,,,4,4,2015,7,2015,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0400,04126,040004126,1,1,2003,1,1,female,White,White,33,1,Girlfriend,,,,12,29,2002,1,2003,Shotgun,Other residence (not victim’s or offender’s),Domestic Violence,Non-death penalty homicide.
04,Butte,0400,01723,040001723,1,4,2003,1,1,male,White,White,37,1,Common-law husband,,,,4,30,2003,4,2003,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0400,02444,040002444,1,7,2003,1,1,female,White,White,44,1,Girlfriend,,,,7,14,2003,2,2003,Rifle,Residence of offender,Domestic Violence,Non-death penalty homicide.
04,Butte,0402,03171,040203171,1,11,2004,1,1,female,White,White,67,1,Wife,,,,11,7,2004,1,2004,Firearm (not specified),Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0400,05784,040005784,1,7,2005,1,1,male,White,White,77,1,Boyfriend,,,,7,19,2005,3,2005,"Personal weapon (hands/feet, etc)",Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0400,09048,040009048,1,10,2006,1,1,female,White,White,43,1,Wife,,,,10,1,2006,1,2006,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0402,07637,040207637,1,5,2006,1,1,female,White,White,20,1,Girlfriend,,,,5,4,2006,5,2006,Handgun (pistol/revolver),Parking lot,Domestic Violence,Non-death penalty homicide.
04,Butte,0400,10439,040010439,1,4,2007,1,1,female,White,White,48,1,Wife,,,,3,29,2007,5,2007,Rifle,Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0402,10381,040210381,1,4,2007,1,1,female,White,White,44,1,Girlfriend,,,,3,30,2007,6,2007,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0402,15353,040215353,1,9,2008,1,1,female,White,White,46,1,Wife,,,,9,7,2008,1,2008,Firearm (not specified),Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0404,14926,040414926,1,7,2008,3,1,female,White,White,30,1,Girlfriend,,,,7,16,2008,4,2008,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0400,18243,040018243,1,10,2009,1,1,female,White,White,42,1,Wife,,,,10,27,2009,3,2009,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0400,20267,040020267,1,5,2010,1,1,male,White,White,43,1,Husband,,,,5,18,2010,3,2010,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0400,22005,040022005,1,4,2011,1,1,male,White,White,56,1,Common-law husband,,,,4,15,2011,6,2011,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0404,27894,040427894,1,6,2013,1,1,female,White,White,33,1,Girlfriend,,,,6,27,2013,5,2013,Blunt object,Victim’s residence,Domestic Violence,Non-death penalty homicide.
04,Butte,0400,30557,040030557,1,10,2014,1,1,female,Hispanic,Hispanic,24,1,Wife,,,,10,5,2014,1,2014,"Personal weapon (hands/feet, etc)","Park, public use area",Domestic Violence,Non-death penalty homicide.
05,Calaveras,0500,01983,050001983,1,5,2004,1,1,female,White,White,85,1,Wife,,,,5,11,2004,3,2004,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
05,Calaveras,0500,02639,050002639,1,7,2004,1,1,female,White,White,42,1,Girlfriend,,,,7,20,2004,3,2004,Handgun (pistol/revolver),Victim’s residence,Domestic Violence,Non-death penalty homicide.
05,Calaveras,0500,05526,050005526,1,8,2005,1,1,male,White,White,72,1,Husband,,,,8,30,2005,3,2005,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
05,Calaveras,0500,08063,050008063,1,6,2006,1,1,male,White,White,40,1,Husband,,,,6,25,2006,1,2006,Rifle,Shared residence,Domestic Violence,Non-death penalty homicide.
05,Calaveras,0500,33405,050033405,1,12,2015,1,1,female,White,White,64,1,Wife,,,,12,22,2015,3,2015,Rifle,Shared residence,Domestic Violence,Non-death penalty homicide.
05,Calaveras,0500,39691,050039691,1,7,2018,1,1,female,White,White,27,1,Girlfriend,,,,7,10,2018,3,2018,"Personal weapon (hands/feet, etc)",Unknown,Domestic Violence,Non-death penalty homicide.
06,Colusa,0600,17768,060017768,1,8,2009,1,1,male,White,White,26,1,Boyfriend,,,,8,31,2009,2,2009,Shotgun,Residence of offender,Domestic Violence,Non-death penalty homicide.
07,Contra Costa,0700,00026,070000026,1,1,2001,1,1,male,White,White,56,1,Husband,,,,1,1,2001,2,2001,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
07,Contra Costa,0700,00640,070000640,1,6,2001,1,1,female,White,White,50,1,Wife,,,,6,10,2001,1,2001,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
07,Contra Costa,0701,01697,070101697,1,10,2001,2,1,male,Black or African American,Black,03,1,Son,,,,10,6,2001,7,2001,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
07,Contra Costa,0701,01697,070101697,2,10,2001,2,1,female,White,White,23,1,Girlfriend,,,,10,6,2001,7,2001,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
07,Contra Costa,0710,00131,071000131,1,3,2001,1,1,male,Black or African American,Black,25,1,Boyfriend,,,,3,25,2001,1,2001,Knife or other stabbing instrument,Victim’s residence,Domestic Violence,Non-death penalty homicide.
07,Contra Costa,0717,04056,071704056,1,1,2001,1,1,female,White,White,43,1,Wife,,,,1,5,2001,6,2001,Handgun (pistol/revolver),Shared residence,Domestic Violence,Non-death penalty homicide.
07,Contra Costa,0700,01993,070001993,1,11,2002,1,1,female,Other,Other,45,1,Wife,,,,9,20,2002,6,2002,Blunt object,Shared residence,Domestic Violence,Non-death penalty homicide.
07,Contra Costa,0708,01027,070801027,1,6,2002,1,1,male,Black or African American,Black,75,1,Husband,,,,6,30,2002,1,2002,Blunt object,Shared residence,Domestic Violence,Non-death penalty homicide.
